fecha,mes,semana,dia_semana,hora,peatones,avg_vel_peatones,child,avg_vel_child,mujer,avg_vel_mujer,hombre,avg_vel_hombre,bicycle,avg_vel_bicycle,motorcycle,avg_vel_motorcycle,autos,avg_vel_autos,car,avg_vel_car,pickup,avg_vel_pickup,van,avg_vel_van,truck,avg_vel_truck,bus,avg_vel_bus
26/07/2021,Julio,31,lunes,5,14,5,0,0,4,8,11,8,2,19,2,23,59,26,56,46,1,41,0,8,1,33,11,47
26/07/2021,Julio,31,lunes,6,65,6,0,1,14,7,51,11,10,29,11,40,306,41,286,62,14,54,2,42,4,48,17,53
26/07/2021,Julio,31,lunes,7,129,7,1,6,20,8,108,8,30,31,12,46,1473,52,1385,70,63,69,9,63,16,57,46,54
26/07/2021,Julio,31,lunes,8,98,5,1,1,30,6,67,7,34,33,18,55,1888,52,1689,72,137,67,28,67,33,56,54,57
26/07/2021,Julio,31,lunes,9,58,5,1,2,15,6,43,6,13,34,29,53,2141,52,1874,71,179,66,34,67,54,57,48,59
26/07/2021,Julio,31,lunes,10,38,5,0,0,14,7,24,6,6,29,34,51,1766,51,1496,71,179,64,39,64,52,57,43,61
26/07/2021,Julio,31,lunes,11,36,6,0,4,9,7,26,7,4,16,22,49,1734,52,1505,73,142,65,34,68,53,55,26,61
26/07/2021,Julio,31,lunes,12,25,4,0,1,8,5,17,7,7,28,44,61,1811,53,1566,73,156,66,37,68,52,58,32,60
26/07/2021,Julio,31,lunes,13,40,5,0,2,8,6,32,7,3,22,63,53,2103,54,1854,74,154,68,44,68,50,59,29,64
26/07/2021,Julio,31,lunes,14,40,5,0,3,9,4,31,8,3,32,75,53,2419,53,2130,75,177,68,51,66,62,57,34,62
26/07/2021,Julio,31,lunes,15,46,5,1,1,17,7,28,8,3,33,78,54,2443,52,2160,75,169,67,52,65,63,54,39,62
26/07/2021,Julio,31,lunes,16,82,6,2,4,27,6,54,7,8,39,67,56,2835,52,2498,74,206,67,64,64,67,55,49,59
26/07/2021,Julio,31,lunes,17,86,5,1,2,19,7,65,7,14,26,71,48,2931,53,2603,73,212,66,66,65,51,61,53,57
26/07/2021,Julio,31,lunes,18,88,6,1,4,29,6,58,7,20,33,71,45,3093,52,2853,72,173,66,42,65,24,58,58,60
26/07/2021,Julio,31,lunes,19,116,7,2,5,38,7,76,8,27,37,60,51,2666,51,2474,69,142,65,30,64,19,55,45,58
26/07/2021,Julio,31,lunes,20,137,6,3,4,45,6,88,8,7,38,50,49,2012,48,1909,65,77,64,12,60,14,50,41,54
26/07/2021,Julio,31,lunes,21,94,6,4,4,37,6,54,8,4,40,21,45,1220,46,1171,63,37,60,6,58,6,50,34,51
26/07/2021,Julio,31,lunes,22,105,5,5,5,35,5,65,6,4,30,14,40,762,46,734,63,19,62,5,51,3,54,23,52
26/07/2021,Julio,31,lunes,23,10,3,0,1,4,4,6,4,0,0,1,21,48,24,47,63,1,56,0,0,0,0,2,36
27/07/2021,Julio,31,martes,5,14,4,0,0,2,5,12,7,6,35,4,50,93,18,89,47,4,45,0,0,0,0,22,49
27/07/2021,Julio,31,martes,6,126,6,0,0,24,8,102,10,27,34,20,49,344,42,300,64,30,65,8,43,6,38,28,51
27/07/2021,Julio,31,martes,7,219,8,3,8,32,7,184,9,89,31,25,49,1119,55,1002,73,80,69,10,75,27,56,82,56
27/07/2021,Julio,31,martes,8,123,7,1,5,23,7,99,9,76,33,25,58,1754,51,1518,70,172,66,29,64,35,54,62,56
27/07/2021,Julio,31,martes,9,34,4,0,0,4,8,30,6,7,34,17,50,1260,53,1094,70,108,65,20,70,38,59,34,56
27/07/2021,Julio,31,martes,10,32,4,0,0,4,5,28,7,7,29,13,57,1145,54,958,71,121,64,22,72,44,62,32,56
27/07/2021,Julio,31,martes,11,17,4,0,0,6,5,11,7,1,35,10,50,1013,54,852,74,110,68,17,73,34,56,19,58
27/07/2021,Julio,31,martes,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,martes,13,32,4,0,0,3,5,29,7,2,35,42,60,1554,51,1310,70,168,63,38,63,38,56,24,60
27/07/2021,Julio,31,martes,14,46,5,0,0,8,8,38,6,1,65,89,53,2323,53,1976,77,213,69,64,67,70,55,42,62
27/07/2021,Julio,31,martes,15,41,4,0,0,14,6,27,7,0,0,72,56,2346,50,1988,70,214,65,61,61,83,55,48,59
27/07/2021,Julio,31,martes,16,85,7,1,5,38,8,46,7,7,32,74,59,2582,54,2282,74,184,69,73,72,43,55,48,55
27/07/2021,Julio,31,martes,17,85,9,1,15,19,6,65,7,21,23,55,47,2921,52,2597,75,219,69,76,66,29,49,46,61
27/07/2021,Julio,31,martes,18,182,6,1,5,43,6,138,6,14,33,78,47,3171,56,2837,74,264,68,48,71,22,67,65,60
27/07/2021,Julio,31,martes,19,156,6,8,5,41,5,107,7,38,32,90,56,2670,49,2454,73,176,66,25,67,15,40,73,55
27/07/2021,Julio,31,martes,20,209,6,5,5,98,6,106,8,22,30,111,48,2029,48,1890,70,102,65,12,55,25,51,49,52
27/07/2021,Julio,31,martes,21,156,6,8,6,46,5,102,7,6,42,34,46,1394,49,1321,63,56,65,7,58,10,57,36,56
27/07/2021,Julio,31,martes,22,101,6,2,5,23,5,76,6,6,22,20,41,905,45,860,63,37,63,5,67,3,32,33,50
27/07/2021,Julio,31,martes,23,12,3,0,0,8,5,4,5,0,0,2,45,54,24,53,63,0,0,1,55,0,0,0,0
28/07/2021,Julio,31,miércoles,5,24,5,0,0,2,5,22,11,2,25,4,40,96,19,88,47,8,50,0,0,0,0,16,45
28/07/2021,Julio,31,miércoles,6,94,8,0,0,24,12,70,13,24,33,18,41,366,41,325,60,29,57,4,35,8,50,31,49
28/07/2021,Julio,31,miércoles,7,280,5,0,0,40,7,240,8,123,31,10,49,898,50,787,72,68,66,16,57,27,55,69,53
28/07/2021,Julio,31,miércoles,8,142,6,2,5,39,6,101,7,66,32,43,52,2004,54,1693,75,241,67,24,71,46,58,76,56
28/07/2021,Julio,31,miércoles,9,81,5,0,0,34,7,47,7,26,38,40,48,2504,56,2140,78,261,72,38,72,65,60,69,59
28/07/2021,Julio,31,miércoles,10,38,4,0,0,2,5,36,7,36,34,46,48,2229,53,1882,74,247,67,53,66,47,59,55,63
28/07/2021,Julio,31,miércoles,11,34,4,0,0,4,5,30,7,8,33,52,42,2040,55,1700,75,212,69,49,69,79,60,42,59
28/07/2021,Julio,31,miércoles,12,68,6,2,5,6,5,60,7,8,38,70,56,2240,52,1969,74,173,67,42,61,56,60,46,58
28/07/2021,Julio,31,miércoles,13,58,5,0,0,14,6,44,8,6,18,99,52,2398,56,2097,78,179,69,63,71,59,63,42,65
28/07/2021,Julio,31,miércoles,14,24,4,0,0,8,8,16,5,2,25,60,48,1298,58,1123,79,111,73,30,72,34,64,20,57
28/07/2021,Julio,31,miércoles,15,56,6,3,5,16,6,37,7,2,15,56,55,2051,53,1740,76,208,65,36,68,67,56,60,59
28/07/2021,Julio,31,miércoles,16,82,7,2,5,30,6,50,8,16,25,78,54,2632,53,2282,76,222,71,64,67,64,52,48,57
28/07/2021,Julio,31,miércoles,17,111,6,4,5,24,7,83,7,22,10,95,46,2925,55,2522,77,303,69,62,74,38,56,50,66
28/07/2021,Julio,31,miércoles,18,136,6,2,5,48,5,86,7,19,28,81,48,2915,57,2599,77,239,72,49,72,28,63,60,66
28/07/2021,Julio,31,miércoles,19,111,7,10,5,32,6,69,9,11,30,68,54,2686,53,2501,75,149,66,23,71,13,52,69,68
28/07/2021,Julio,31,miércoles,20,99,8,5,5,19,10,75,9,5,49,84,53,2161,57,2042,75,87,70,21,71,11,68,42,57
28/07/2021,Julio,31,miércoles,21,62,9,1,5,24,5,37,17,0,0,20,43,1219,50,1170,68,34,66,5,63,10,52,31,54
28/07/2021,Julio,31,miércoles,22,74,5,5,5,20,5,49,5,4,50,16,45,743,36,712,65,26,67,0,0,5,47,26,56
28/07/2021,Julio,31,miércoles,23,0,0,0,0,0,0,0,0,2,25,1,5,88,13,88,66,0,0,0,0,0,0,4,50
29/07/2021,Julio,31,jueves,5,6,2,0,0,0,0,6,5,2,30,0,0,43,18,42,44,1,45,0,0,0,0,8,44
29/07/2021,Julio,31,jueves,6,54,5,0,0,7,5,47,9,11,28,4,38,168,42,151,60,10,56,2,40,5,53,17,50
29/07/2021,Julio,31,jueves,7,38,10,1,15,6,8,31,7,8,33,4,60,160,36,147,64,8,63,0,0,5,53,14,54
29/07/2021,Julio,31,jueves,8,12,4,0,0,2,5,10,8,3,42,3,62,187,45,155,60,25,59,2,55,5,49,9,49
29/07/2021,Julio,31,jueves,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/07/2021,Julio,31,jueves,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/07/2021,Julio,31,jueves,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
