interseccion,lat,lon,tipo,hora_matutino,vehiculos_matutino,ciclistas_matutino,peatones_matutino,hora_mediodia,vehiculos_mediodia,ciclistas_mediodia,peatones_mediodia,hora_vespertino,vehiculos_vespertino,ciclistas_vespertino,peatones_vespertino,nivel_servicio_color,nivel_servicio,demora_promedio,icu_maximo,vc_maxima,propuestas,fecha,dibujo_volumen,dibujo_propuesta,nivel_servicio_class
Diaz Ordaz Con Corregidora,25.6749788,-100.402954,semaforizada,08:30 - 09:30,4558,7,408,13:30 - 14:30,4003,2,387,17:00 - 18:00,4829,4,1053,#a88400,D,48,1.245,1.26,"Se recomienda revisar el diseño propuesto para la vía ciclista, se deberá ampliar la zona vial para acomodar de forma segregada el carril ciclista. No se deberá reducir la sección vial para evitar exceso de demoras, se propone un carril ciclista bidireccional en la zona oriente del cruce.",21/11/2020,f1-1,f102-1,D - E
Morones Prieto Con Corregidora,25.67038426,-100.4021851,semaforizada,08:30 - 09:30,3733,10,161,13:30 - 14:30,3322,9,53,17:00 - 18:00,3878,9,281,#f54242,F,138,1.147,1.53,"Se deberán rediseñar los carriles ciclistas actuales, la reducción de la sección vial del sentido norte a sur genera el nivel de servicio F. Se proponen carriles ciclistas bidireccionales, los cuales conectan al norte con la Av. Diaz Ordaz.",04/06/2020,f2-1,f103-1,F
Corregidora Con Manuel J. Clouthier,25.677965,-100.402316,semaforizada,08:15 - 09:15,1171,4,120,12:15 - 13:15,1216,2,82,18:15 - 19:15,2051,3,132,#a88400,D,44.5,0.667,1.2,Se recomienda el rediseño del cruce para generar menor distancia de cruce peatonal y reducir zonas de maniobras. La vialidad cuenta con amplias vueltas izquierdas hacia el poniente de Clouthier.,04/06/2020,f3-1,f104-1,D - E
Manuel J. Clouthier Con Zinc,25.6802417,-100.4135467,semaforizada,08:15 - 09:15,326,8,217,13:15 - 14:15,396,6,52,17:45 - 18:45,861,8,120,#7cde0d,B,11.3,0.68,0.43,"Este cruce presenta una operación estable, no requiere algún cambio en cuanto a su capacidad. Se deberán pintar rayas faltantes y colocar señalamiento vertical de carril compartido. Las esquinas norte podrán ser ampliadas para mejorar cruce peatonal.",05/06/2020,f4-1,f105-1,A - C
Las Torres Con Zinc,25.67958,-100.413634,semaforizada,08:15 - 09:15,842,3,26,12:30 - 13:30,518,1,26,18:15 - 19:15,749,1,17,#00a806,A,6.3,0.68,0.57,"Este cruce presenta una operación estable, no requiere algún cambio en cuanto a su capacidad. Se deberán pintar rayas faltantes y colocar señalamiento vertical faltante. Las esquinas sur podrán ser ampliadas para mejorar cruce peatonal.",05/06/2020,f5-1,f106-1,A - C
Manuel J. Clouthier Con Oro,25.6808695,-100.4167181,semaforizada,08:00 - 09:00,1146,3,208,13:30 - 14:30,812,4,48,17:45 - 18:45,1395,3,104,#00a806,A,4.2,0.508,0.54,"Este cruce presenta una operación estable, no requiere algún cambio en cuanto a su capacidad. Se recomienda rediseñar la zona oriente de la calle Oro, la cual es muy amplia y puede ser ajustada para agregar un espacio al parque lineal. Además, será necesario construir isletas, pintar zonas peatonales y líneas de circulación.",05/06/2020,f6-1,f107-1,A - C
Enrique Garcia Leal Con Oro,25.6785132,-100.417203,semaforizada,07:45 - 08:45,1029,4,34,13:15 - 14:15,591,3,22,18:15 - 19:15,698,3,25,#00a806,A,9.5,0.505,0.5,"Este cruce presenta una operación estable, no requiere algún cambio en cuanto a su capacidad. El cruce presenta varias zonas abiertas donde el conductor puede realizar giros prohibidos o que pongan en riesgo a peatones o conductores, se recomienda ampliar el camellón central de la avenida y ampliar las esquinas norte de la intersección. Asimismo, es necesario colocar la pintura y señalamiento vertical faltante.",08/06/2020,f7-1,f108-1,A - C
Maria Cantu Con Lucio Blanco,25.67005799,-100.407228,semaforizada,08:00 - 09:00,643,2,50,12:45 - 13:45,417,2,20,18:30 - 19:30,532,1,60,#7cde0d,B,19.8,0.285,0.61,"Este cruce presenta una operación estable, fue recientemente inaugurado en conjunto con la construcción del puente a desnivel en Morones Prieto, actualmente no requiere algun cambio para mejorar su operación.",03/07/2020,f8-1,f109-1,A - C
Cobalto Con Division Del Norte,25.6822828,-100.4115304,semaforizada,08:00 - 09:00,570,4,98,13:00 - 14:00,579,2,63,18:00 - 09:00,858,4,145,#7cde0d,B,12,0.332,0.43,"Este cruce presenta una operación estable, no requiere cambios en su capacidad. Se recomienda agregar un camellón central en calle Cobalto que sirva como descanso para el peatón, asimismo, ampliar esquinas en zona de parque para reducir distancia de recorrido. Es necesario colocar el señalamiento faltante vertical y horizontal, tal y como se indica en la figura anexa al final de este reporte.",11/06/2020,f9-1,f110-1,A - C
Enrique Garcia Leal Con Zinc,25.6789422,-100.413746,semaforizada,07:30 - 08:30,1306,6,38,13:30 - 14:30,760,2,15,17:45 - 18:45,1053,2,39,#7cde0d,B,15,0.458,0.71,"Este cruce presenta una operación estable, no requiere algún cambio en cuanto a su capacidad. El cruce presenta varias zonas abiertas donde el conductor puede realizar giros prohibidos o que pongan en riesgo a peatones o conductores, se recomienda ampliar el camellón central de la avenida y ampliar las esquinas norte de la intersección. Asimismo, es necesario colocar la pintura y señalamiento vertical faltante.",08/06/2020,f10-1,f111-1,A - C
Jose Vasconcelos Con Corregidora,25.663104,-100.4052327,semaforizada,08:00 - 09:00,1460,3,62,12:45 - 13:45,1263,7,47,17:15 - 18:15,855,4,80,#ded70d,C,30.8,0.652,0.89,"Se requiere la ampliación a la sección vial de la zona poniente de la Av. Vasconcelos, a 5 carriles de circulación. Esta ampliación alinea la avenida con la zona oriente, asimismo, incrementa la capacidad de vía. Aunado a lo anterior, se requiere marcas en el pavimento, colocar poste de semáforo y colocar nuevo señalamiento vertical.",11/06/2020,f11-1,f112-1,A - C
Jose Vasconcelos Con Benito Juarez,25.6625262,-100.403498,semaforizada,08:30 - 09:30,1390,5,236,12:45 - 13:45,1464,7,209,17:45 - 18:45,1527,1,206,#ded70d,C,20.4,0.566,0.86,"Este cruce ha sido modificado recientemente por las autoridades municipales. Se recomienda ampliar las banquetas sobre la calle que cruza Vasconcelos para reducir cruce peatonal, actualmente se han colocado delineadores para evitar el paso del vehículo, sin embargos estos no protegen totalmente al peatón.",15/06/2020,f12-1,f113-1,A - C
