orden,interseccion,color_todos,color_les,color_fall,color_transp,
1,Diaz Ordaz con Corregidora,#a60000,#a60000,#a60000,#a60000,
2,Morones Prieto con Canteras,#a60000,#a60000,#a60000,#a60000,
3,Diaz Ordaz con Oro,#a60000,#a60000,#a60000,#a60000,
4,Jose Vasconcelos con Montes Rocallosos,#a60000,#a60000,#a60000,#a60000,
5,Morones Prieto con Humberto Lobo,#cf0202,#cf0202,#cf0202,#cf0202,
6,Lazaro Cardenas con Montes Celestes,#cf0202,#cf0202,#cf0202,#cf0202,
7,Lazaro Cardenas con Jose Maria Escriva,#cf0202,#cf0202,#cf0202,#cf0202,
8,Lazaro Cardenas con Jesus Reyes Fereyra,#cf0202,#cf0202,#cf0202,#cf0202,
9,Ricardo Margain con Valle Sol,#cf0202,#cf0202,#cf0202,#cf0202,
10,Morones Prieto con Benito Juarez,#ed3232,#ed3232,#ed3232,#ed3232,
11,Diaz Ordaz con Maria Cantu,#ed3232,#ed3232,#ed3232,#ed3232,
12,Morones Prieto con Santa Barbara,#ed3232,#ed3232,#ed3232,#ed3232,
13,Gomez Morin con Rio Guadalquivir,#ed5732,#ed5732,#ed5732,#ed5732,
14,Lazaro Cardenas con Lomas Del Mar,#ed5732,#ed5732,#ed5732,#ed5732,
15,Morones Prieto con Corregidora,#ed5732,#ed5732,#ed5732,#ed5732,
16,Lazaro Cardenas con San Alberto,#ed5732,#ed5732,#ed5732,#ed5732,
17,Diaz Ordaz con Zinc,#ed5732,#ed5732,#ed5732,#ed5732,
18,Lazaro Cardenas con Diego Rivera,#ed5732,#ed5732,#ed5732,#ed5732,
19,Morones Prieto con Rio Suchiate,#ed5732,#ed5732,#ed5732,#ed5732,
20,Calzada San Pedro con Rio Mississippi,#ed5732,#ed5732,#ed5732,#ed5732,
21,Calzada San Pedro con Rio Missouri,#ed5732,#ed5732,#ed5732,#ed5732,
22,Calzada Del Rosario con Privada Esperanza,#ed5732,#ed5732,#ed5732,#ed5732,
23,Lazaro Cardenas con Torrevillas,#ed5732,#ed5732,#ed5732,#ed5732,
24,Cobalto con Platino,#ed5732,#ed5732,#ed5732,#ed5732,
25,Morones Prieto con Manuel Santos,#ed5732,#ed5732,#ed5732,#ed5732,
26,Alfonso Reyes con La Escondida,#ed5732,#ed5732,#ed5732,#ed5732,
27,Jose Vasconcelos con Los Rosales,#ed5732,#ed5732,#ed5732,#ed5732,
28,Lazaro Cardenas con Dr Atl,#ed5732,#ed5732,#ed5732,#ed5732,
29,Eugenio Garza Laguera con Lomas De San Agustin,#ed5732,#ed5732,#ed5732,#ed5732,
30,Morones Prieto con Rio Bravo,#ed5732,#ed5732,#ed5732,#ed5732,
31,Ricardo Margain con Roble,#ed5732,#ed5732,#ed5732,#ed5732,
