orden,Intersecciones,Lat,Lon,hin,prioridad,tamaño,color
1,Diaz Ordaz con Corregidora,25.6749788,-100.4029541,3609.831191,1,32,#a60000
2,Morones Prieto con Canteras,25.6711127,-100.3962071,3135.867657,1,33,#a60000
3,Diaz Ordaz con Oro,25.67551965,-100.4176618,2929.059765,1,32,#a60000
4,Jose Vasconcelos con Montes Rocallosos,25.65374753,-100.3420169,2662.215178,1,31,#a60000
5,Morones Prieto con Humberto Lobo,25.6677653,-100.3798867,2422.343351,2,30,#cf0202
6,Lazaro Cardenas con Montes Celestes,25.65477805,-100.3389784,2406.272729,2,29,#cf0202
7,Lazaro Cardenas con Jose Maria Escriva,25.649816,-100.330152,2405.163055,2,28,#cf0202
8,Lazaro Cardenas con Jesus Reyes Fereyra,25.6439648,-100.321718,2243.73457,2,27,#cf0202
9,Ricardo Margain con Valle Sol,25.66249532,-100.3525379,2169.757363,2,26,#cf0202
10,Morones Prieto con Benito Juarez,25.67110547,-100.398001,1783.163962,3,25,#ed3232
11,Diaz Ordaz con Maria Cantu,25.6749852,-100.4071043,1599.492105,3,24,#ed3232
12,Morones Prieto con Santa Barbara,25.66901098,-100.3833419,1570.162216,3,23,#ed3232
13,Gomez Morin con Rio Guadalquivir,25.6584166,-100.356326,1472.422293,4,22,#ed5732
14,Lazaro Cardenas con Lomas Del Mar,25.65697156,-100.3417357,1441.316379,4,21,#ed5732
15,Morones Prieto con Corregidora,25.67030898,-100.4022678,1434.021858,4,20,#ed5732
16,Lazaro Cardenas con San Alberto,25.655963,-100.34015,1407.529734,4,19,#ed5732
17,Diaz Ordaz con Zinc,25.675118,-100.414306,1399.781636,4,18,#ed5732
18,Lazaro Cardenas con Diego Rivera,25.65152099,-100.3338736,1381.003845,4,17,#ed5732
19,Morones Prieto con Rio Suchiate,25.6676505,-100.3740832,1361.789402,4,16,#ed5732
20,Calzada San Pedro con Rio Mississippi,25.65952771,-100.3695088,1359.893914,4,15,#ed5732
21,Calzada San Pedro con Rio Missouri,25.66251784,-100.3685436,1342.898293,4,14,#ed5732
22,Calzada Del Rosario con Privada Esperanza,25.65405266,-100.3860537,1325.043478,4,13,#ed5732
23,Lazaro Cardenas con Torrevillas,25.652719,-100.335409,1323.257893,4,12,#ed5732
24,Cobalto con Platino,25.68324941,-100.4157891,1322.645133,4,11,#ed5732
25,Morones Prieto con Manuel Santos,25.668145,-100.382007,1279.564807,4,10,#ed5732
26,Alfonso Reyes con La Escondida,25.6409231,-100.367945,1271.653576,4,9,#ed5732
27,Jose Vasconcelos con Los Rosales,25.65330168,-100.3506393,1261.740752,4,8,#ed5732
28,Lazaro Cardenas con Dr Atl,25.6484496,-100.3283367,1257.216867,4,7,#ed5732
29,Eugenio Garza Laguera con Lomas De San Agustin,25.63797112,-100.3344636,1245.984572,4,6,#ed5732
30,Morones Prieto con Rio Bravo,25.66771791,-100.3763452,1233.454418,4,5,#ed5732
31,Ricardo Margain con Roble,25.65017783,-100.3528011,1139.14446,4,4,#ed5732
32,Calzada Del Valle con Rio Grijalva,25.65690125,-100.3689393,1106.841515,4,3,#ed5732
33,Morones Prieto con Francisco Villa,25.6657629,-100.4163627,854.7568767,5,1,#ed7a32
34,Calzada Del Valle con Calzada San Pedro,25.65729362,-100.3703024,807.1677019,5,1,#ed7a32
35,Jose Vasconcelos con Morones Prieto,25.6660205,-100.412679,773.9991127,5,1,#ed7a32
36,Morones Prieto con Jimenez,25.66678711,-100.4082209,760.2942916,5,1,#ed7a32
37,Eugenio Garza Laguera con Rufino Tamayo,25.64310199,-100.3268706,716.0023662,5,1,#ed7a32
38,Jose Vasconcelos con Benito Juarez,25.6625133,-100.4034977,587.4554865,5,1,#ed7a32
39,Lazaro Cardenas con Rio Tamuin,25.6593225,-100.344796,563.6923987,5,1,#ed7a32
40,Lazaro Cardenas con Pedro Ramirez Vazquez,25.641171,-100.317294,539.697131,5,1,#ed7a32
41,Alfonso Reyes con Padre Mier,25.6583772,-100.413168,506.2360248,5,1,#ed7a32
42,Jose Vasconcelos con Neil Armstrong,25.6571908,-100.3896779,485.5814848,6,1,#c6cc14
